狀態,條碼編號,品名,規格,品號,定價一,零售價,九折價
正常品,4975163325016,Prostaff輪胎泡沫清潔劑,420ml (203*66*66),P0013,105,175,158
正常品,4975163131051,皇瓶玻璃油膜清潔劑-100ml,136*72*69mm(100g),PA-01,115,195,176
正常品,4975163815227,蟲屍鳥糞煙垢清潔劑,178*53*53mm(220ml),PA-03,85,145,131
正常品,4975163131075,Prostaff新玻璃油膜清潔劑,200g (171*69*64),PA-11,185,310,279
正常品,4975163113040,耐久型內窗防霧劑,208*108*38mm,PA-13,225,375,338
正常品,4975163136063,Prostaff黃金級油膜去除劑,54g,PA-14,175,295,266
正常品,4975163136070,撥水鍍膜劑外窗擴散噴灑,230*160*55mm(220ml),PA-15,135,225,203
正常品,4975163131099,油膜去除車窗用4倍高速,169*70*40mm(16g),PA-18,100,170,153
正常品,4975163115198,車用家用玻璃清潔劑,203*66*66mm(420ml),PA-19,85,145,131
正常品,4975163115082,Prostaff油膜去除防霧劑,220ml (178*53*53),PA-36,100,180,162
正常品,4975163112104,玻璃清潔防霧濕紙巾,225*135*17mm(10枚入),PA-42,60,100,90
正常品,4975163111213,Prostaff超級玻璃清潔劑,400ml (230*94*49),PA-44,95,160,144
正常品,4975163133017,Prostaff-魁-玻璃油膜研磨,80g (200*105*35mm ),PA-60,170,285,257
正常品,4975163113033,Prostaff-魁-玻璃水漬研磨,45ml (200*105*70),PA-65,225,375,338
正常品,4975163111367,去油膜雨刷精2L,257*125*125mm(2000ml),PA-69,90,150,135
正常品,4975163171132,魔獸超撥水鍍膜劑,254*615*418mm (100ml),PA-70,295,495,446
正常品,4975163171149,魔獸超強撥水鍍膜劑,254*615*418mm (80ml),PA-71,355,595,536
正常品,4975163171156,魔獸超強撥水鍍膜噴劑,248*580*333mm (220ml),PA-72,170,285,257
正常品,4975163172054,魔獸除蟲屍鳥屎撥水濕巾,230*135*14mm (110g),PA-73,105,175,158
正常品,4975163111374,魔獸超強除污玻璃清潔劑,270*535*310mm (700ml),PA-74,275,460,414
正常品,4975163131129,魔獸玻璃頑垢油膜清潔劑,224*142*82mm (100g),PA-75,305,510,459
正常品,4975163171163,魔獸去污撥水雨刷精,260*220*123mm (2000ml),PA-76,210,350,315
正常品,4975163111381,純水玻璃雨刷精,257*125*125mm (2000ml),PA-82,235,385,347
正常品,4975163112142,純水內窗濕紙巾,230*135*16mm (12入),PA-83,105,175,158
正常品,4975163211241,Prostaff車身鋼圈鐵粉去除,400ml (230*94*49),PB-14,165,275,248
正常品,4975163915095,車用家用布類除臭清潔劑,213*66*66mm(420ml),PC-29,140,235,212
正常品,4975163812127,車內清潔抑菌濕紙巾,225*135*19mm(12枚),PC-50,60,100,90
正常品,4975163521029,皮革合成皮清潔保養濕巾,225*135*19mm(10枚入),PC-59,80,135,122
正常品,4975163491070,魔獸內裝光澤保護鍍膜劑,213*100*50mm (200ml),PC-92,385,640,576
正常品,4975163891610,Prostaff炎神力燃料添加劑,200ml,PD-60,115,190,171
正常品,4975163853144,Prostaff力太郎機油添加劑,100ml,PD-68,355,595,536
正常品,4975163812011,車內外清潔濕紙巾,215*135*15mm(10枚),PF-33,60,100,90
正常品,4975163812059,車內清潔光澤護膜濕紙巾,225*135*17mm (10入),PF-40,60,100,90
正常品,4975163812103,多用途車內外清潔濕紙巾,240*143*53mm(38枚),PF-49,140,235,212
正常品,4975163822270,車用清潔上蠟濕紙巾,250*155*60mm(24枚),PF-50,155,260,234
正常品,4975163893652,Prostaff後視鏡親水劑,6ml*20g (212*140*35),PF-57,225,390,351
正常品,4975163292066,X-MAL萬用超細纖維布,270*128*20mm(47g),PF-65,75,125,113
正常品,4975163811083,全功能清潔劑,218*110*58mm(500ml),PF-66,150,250,225
正常品,4975163891689,魔獸快速玻璃撥水鍍膜劑,225*143*57mm (190ml),PF-75,345,570,513
正常品,4975163324040,超光澤輪胎撥水清潔劑,225*132*66mm(500ml×2),PG-77,215,360,324
正常品,4975163892747,高纖維清潔布,328*215*15mm(16枚),PP-64,110,185,167
正常品,4975163892860,Jabb纖維洗車擦拭手套3入,145g (310*235*51mm),PP-75,175,290,261
正常品,4975163892921,Jabb車內超細纖維擦拭布,54g (255*110*27),PP-95,115,190,171
正常品,4975163890040,Jabb車內擦拭手套-無尾熊,70g (295*240*25),PP-97,135,230,207
正常品,4975163892884,Jabb鍍膜車用3層洗車海綿,39g (285*121*75),PP117,90,170,153
正常品,4975163892891,Jabb鍍膜車用纖維洗車海綿,67g (280*120*58),PP118,115,190,171
正常品,4975163892907,Jabb鍍膜車用吸水巾- 2入,129g (295*190*38),PP119,135,290,261
正常品,4975163896271,Jabb鍍膜車用矽膠刮水器,206g (494*192*22),PP121,150,295,266
正常品,4975163892952,Jabb鍍膜車用纖維洗車刷,125g (473*124*115mm),PP123,165,275,248
正常品,4975163892983,Jabb鍍膜車用纖維手套,81g (310*200*46),PP125,160,295,266
正常品,4975163892990,Jabb鍍膜車用大吸水巾,126g (310*231*31),PP126,180,300,270
正常品,4975163890033,Jabb雙面洗車手套-猩猩手,110g (295*240*35),PP130,225,395,356
正常品,4975163890057,Jabb洗車小刷,39g (250*90*38),PP131,70,145,131
正常品,4975163890170,Jabb鋼圈清洗刷-鬼人手,39g (290*100*40mm),PP139,130,330,297
正常品,4975163891634,Prostaff鍍膜車用吸水麂皮,430×320mm,PP155,140,235,212
正常品,4975163890286,鬼人手雙面輪圈清洗手套,280*220*27mm(62g),PP159,225,375,338
正常品,4975163890293,青蛙手雙面洗車手套,285*175*36mm(41g),PP160,125,210,189
正常品,4975163890309,超速吸水飛鼠大型擦拭布,300*200*47mm(204g),PP161,275,460,414
正常品,4975163890323,超速吸水小飛鼠擦拭布,250*150*42mm,PP166,160,270,243
正常品,4975163890347,Prostaff洗車海綿手套,275*179*25mm(35g),PP167,125,210,189
正常品,4975163890408,純羊毛絨毛雙面洗車手套,255*264*50mm(98g),PP176,465,775,698
正常品,4975163890613,CC 鍍膜拋光超細纖維布,260*140*40mm (2入),PP189,155,255,230
正常品,4975163890620,鍍膜車洗車海綿,265*173*25mm,PP190,95,160,144
正常品,4975163890668,魔獸二刀流清潔刷,360*480*350mm (90g),PP193,375,625,563
正常品,4975163899623,鍍膜車洗車手套,300*220*47mm,PP195,210,350,315
正常品,4975163890712,魔獸捲筒型超細纖維布橘色,210*183*183mm (30枚),PP200,595,995,896
正常品,4975163890729,魔獸捲筒型超細纖維布綠色,210*183*183mm (30枚),PP201,595,995,896
正常品,4975163890743,鍍膜車雙面洗車海綿,285*120*75mm,PP203,85,135,122
正常品,4975163899630,魔獸輪圈清洗刷,410*150*45mm,PP204,370,615,554
正常品,4975163896301,魔獸縫隙及死角清潔刷,302*176*56mm,PP206,435,720,648
正常品,4975163890750,CC 黃金級超級吸水布,300*210*43mm,PP207,355,590,531
正常品,4975163211432,Prostaff-鐵粉去除洗車精,750ml,PS-21,155,260,234
正常品,4975163611058,Prostaff超級鋼圈清潔劑,400ml (230*94*49),PS-27,110,185,167
正常品,4975163325153,光澤輪胎撥水蠟清潔劑,230*66*66mm (500ml),PS-48,130,210,189
正常品,4975163228256,Prostaff光澤耐久蠟-白,250g (白色車),PS-59,200,335,302
正常品,4975163228270,Prostaff光澤耐久蠟-深,250g (深色車),PS-61,200,335,302
正常品,4975163433018,Prostaff-魁-燈殼亮光研磨,80ml (200*105*35mm),PS-71,175,290,261
正常品,4975163833016,Prostaff-魁-鍍鉻清潔劑,80ml (200*105*35),PS-72,215,380,342
正常品,4975163433025,Prostaff-魁-燈殼亮光復元,45ml (200*105*70),PS-86,175,290,261
正常品,4975163223428,Prostaff CC黃金級鍍膜劑,300ml (全車色),PS121,685,"1,280.00",1152
正常品,4975163223435,Prostaff CC黃金級鍍膜劑,200ml (全車色),PS122,460,765,689
正常品,4975163221561,CC 黃金級鍍膜劑補充瓶,205*65*65mm(480ml),PS123,475,795,716
正常品,4975163693023,CC 黃金級輪圈鍍膜劑,193*95*85mm(200ml),PS128,415,695,626
正常品,4975163228362,Prostaff CC黃金級固體蠟,100g (全車色),PS129,450,790,711
正常品,4975163493029,Prostaff-魁-燈殼亮光復元,171g (200*120*46mm),PS132,235,390,351
正常品,4975163272044,X-MAL1 清潔鍍膜濕巾,245*165*23mm(12枚入),PS135,175,295,266
正常品,4975163228386,Prostaff 俺 鏡艷黑固體蠟,200g (?色車),PS137,375,625,563
正常品,4975163293063,Prostaff 俺 純白極上護膜,250ml,PS138,465,775,698
正常品,4975163293070,Prostaff 俺 艷黑極上護膜,250ml,PS139,465,775,698
正常品,4975163493036,Prostaff魁樹脂塑膠鍍膜劑,100ml,PS151,295,495,446
正常品,4975163296125,Prostaff專業鐵粉去除黏土,75g,PS153,185,310,279
正常品,4975163211739,細膩泡沫洗車精全車色用,220*98*98mm(1000ml),PS155,190,320,288
正常品,4975163325337,合成皮革塑膠橡膠光澤護膜,205*66mm*66mm(420ml),PS162,95,160,144
正常品,4975163325344,輪胎皮革橡膠光澤護膜,231*66*66mm(510ml),PS163,115,195,176
正常品,4975163211746,GLASIAS鐵粉去除劑,201*90*79mm(400ml),PS164,245,410,369
正常品,4975163223497,Prostaff CC黃金級鍍膜劑,210*77*41mm(70ml),PS165,175,295,266
正常品,4975163211753,強化洗車精鍍膜車專用,233*124*102mm(800ml),PS166,245,410,369
正常品,4975163236022,3兄弟去除傷痕光亮劑,200*130*47mm(各15g),PS180,185,310,279
正常品,4975163325351,極艷撥水輪胎鍍膜(附工具),234*111*57mm (325ml),PS181,190,320,288
正常品,4975163211784,極細超柔洗車泡,222*101*101mm(760ml),PS184,315,525,473
正常品,4975163211791,極細撥水洗車泡,222*101*101mm(760ml),PS185,325,545,491
正常品,4975163211807,極細去汙洗車泡,205*101*101mm(760ml),PS186,325,545,491
正常品,4975163211814,超綿密防水垢洗車泡,235*105*110mm(600ml),PS187,130,220,198
正常品,4975163233069,研磨三兄弟(粗#4000),200*105*35mm(100ml),PS188,150,250,225
正常品,4975163233076,研磨三兄弟(細#6000),200*105*35mm(100ml),PS189,150,250,225
正常品,4975163222292,四合一 PE棕櫚蠟(抗UV),208*121*60mm(300ml),PS191,295,495,446
正常品,4975163222308,四合一 抗UV撥水鍍膜,208*121*60mm(300ml),PS192,395,660,594
正常品,4975163211821,車身輪圈鐵粉去除清潔劑,218*90*79mm (400ml),PS194,330,545,491
正常品,4975163211838,X-MAL 1 洗車精,210*65*65mm (480ml),PS197,160,265,239
正常品,4975163325368,輪胎撥水清潔劑,206*66*66mm (420ml),PS198,140,235,212
正常品,4975163211845,CC 黃金級洗車精,220*95*95mm (1000ml),PS200,210,345,311
正常品,4975163293094,魔獸車身鱗狀頑垢強力去除,200*120*43mm (100ml),PS206,335,560,504
正常品,4975163811120,魔獸車身輪圈鐵粉清除劑,248*105*67mm (700ml),PS209,405,675,608
正常品,4975163233090,魁車身拋光劑,200*105*35mm (100ml),PS210,145,240,216
正常品,4975163493043,魔獸塑料鍍膜劑,200*100*50mm (30ml),PS211,405,675,608
正常品,4975163321155,CC 黃金級雙效輪胎蠟,175*118*44mm (200ml),PS218,385,640,576
正常品,4975163221783,X-MAL 1 超速洗車清潔蠟,220*94*75mm (470ml),PS224,255,420,378
正常品,4975163223664,魔獸車身復元清潔劑,210*100*45mm (200ml),PS225,540,895,806